seq;Order;Family;IOC_15.2;English;Catalan;Chinese;Chinese (Traditional);Croatian;Czech;Danish;Dutch;Esperanto;Finnish;French;German;Italian;Japanese;Lithuanian;Norwegian;Polish;Portuguese (Lusophone);Portuguese (Portuguese);Russian;Serbian;Slovak;Spanish;Swedish;Turkish;Ukrainian;Afrikaans;Arabic;Belarusian;Bulgarian;Estonian;French (Gaudin);Greek;Hebrew;Hungarian;Icelandic;Indonesian;Korean;Latvian;Macedonian;Malayalam;Northern Sami;Persian;Romanian;Slovenian;Thai
4210;PSITTACIFORMES;Psittacidae;Pyrrhura orcesi;El Oro Parakeet;cotorra d'El Oro;厄瓜多尔鹦哥;埃奧羅鸚哥;ekvadorska papiga;pyrura ekvádorský;El Oro-conure;El-Oroparkiet;el-ora papago;ecuadorinaratti;Conure d’Orcés;Orcessittich;Parrocchetto di El Oro;エルオロウロコインコ;ekvadorinė raudonkaktė papūga;ecuadorparakitt;rudosterka czerwonoczelna;tiriba-de-el-oro;periquitão-de-el-oro;Эквадорская которра;Pirura papagaj iz El Ero;klinochvost ekvádorský;Cotorra de El Oro;eloroparakit;El Oro Papağanı;котора еквадорський;;;;;punalaup-võrkpapagoi;Conure d'Orcés;;;El Oró-i papagáj;;;;;;;;;;;
4211;PSITTACIFORMES;Psittacidae;Pyrrhura albipectus;White-breasted Parakeet;cotorra collblanca;白颈鹦哥;白頸鸚哥;bjelovrata papiga;pyrura bělokrký;Hvidbrystet Conure;Witnekparkiet;blankakola papago;valkorinta-aratti;Conure à col blanc;Weißhalssittich;Parrocchetto collobianco;ムナジロウロコインコ;baltakaklė raudonuodegė papūga;hvithalsparakitt;rudosterka białoszyja;tiriba-de-pescoço-branco;periquitão-de-pescoço-branco;Белогрудая которра;Belovrati pirura papagaj;klinochvost bieloprsý;Cotorra cuelliblanca;vithalsad parakit;Beyaz Göğüslü Papağan;котора білошиїй;;;;;valgekael-võrkpapagoi;Conure à col blanc;;;fehérmellű papagáj;;;;;;;;;;;
4212;PSITTACIFORMES;Psittacidae;Pyrrhura rupicola;Black-capped Parakeet;cotorra de casquet negre;黑顶鹦哥;黑帽鸚哥;crnokapa papiga;pyrura kápový;Klippeconure;Zwartkopparkiet;malhelĉapa papago;inka-aratti;Conure à cape noire;Schwarzkappensittich;Parrocchetto capinero;イワウロコインコ;uolinė raudonuodegė papūga;svartkroneparakitt;rudosterka czarnogłowa;tiriba-rupestre;periquitão-de-barrete;Черношапочная которра;Crnokapi pirura papagaj;klinochvost skalný;Cotorra capirotada;svartkronad parakit;Siyah Takkeli Papağan;котора перуанський;;;;;tumekiird-võrkpapagoi;Conure à cape noire;;;feketesapkás zöldarcú papagáj;;;;;;;;;;;
4213;PSITTACIFORMES;Psittacidae;Pyrrhura calliptera;Flame-winged Parakeet;cotorra pitbruna;褐胸鹦哥;焰翅鸚哥;riđotrba papiga;pyrura hnědoprsý;Brunbrystet Conure;Bruinborstparkiet;brunbrusta papago;ruskosuomuaratti;Conure à poitrine brune;Braunbrustsittich;Parrocchetto pettobruno;キンソデウロコインコ;rudakrūtė raudonuodegė papūga;brunbrystparakitt;rudosterka brązowogardła;tiriba-de-peito-marrom;periquitão-de-peito-castanho;Коричневогруая которра;Šarenokrili pirura papagaj;klinochvost hnedoprsý;Cotorra pechiparda;brunbröstad parakit;Alev Kanatlı Papağan;котора буроволий;;;;;mägi-võrkpapagoi;Conure à poitrine brune;;;díszesszárnyú papagáj;;;;;;;;;;;
4214;PSITTACIFORMES;Psittacidae;Pyrrhura hoematotis;Blood-eared Parakeet;cotorra d'orelles vermelles;红耳鹦哥;紅耳鸚哥;venezuelska papiga;pyrura červenouchý;Rødøret Conure;Roodoorparkiet;ruĝorela papago;venezuelanaratti;Conure à oreillons;Blutohrsittich;Parrocchetto guancerosse;アカミミウロコインコ;raudonausė raudonuodegė papūga;blodøreparakitt;rudosterka krasnoucha;tiriba-de-orelha-vermelha;periquitão-d'orelhas-vermelhas;Красноухая которра;Crvenouhi pirura papagaj;klinochvost červenosluchý;Cotorra colirroja;rödörad parakit;Al Kulaklı Papağan;котора венесуельський;;;;;venetsueela võrkpapagoi;Conure à oreillons;;;zöldpofájú vörösfülű papagáj;;;;;;;;;;;
4215;PSITTACIFORMES;Psittacidae;Pyrrhura rhodocephala;Rose-crowned Parakeet;cotorra de capell vermell;赤头鹦哥;玫頭鸚哥;crvenoglava papiga;pyrura rudohlavý;Rødisset Conure;Roodkopparkiet;rozkrona papago;punalakkiaratti;Conure tête-de-feu;Rotkopfsittich;Parrocchetto testarosa;ズアカウロコインコ;raudongalvė raudonuodegė papūga;rosenkroneparakitt;rudosterka czerwonogłowa;tiriba-de-cabeça-rosa;periquitão-de-cabeça-rosa;Красноголовая которра;Crvenoglavi pirura papagaj;klinochvost červenohlavý;Cotorra coronirroja;rosakronad parakit;Pembe Tepeli Papağan;котора червоноголовий;;;;;punapea-võrkpapagoi;Conure tête-de-feu;;;pirosfejű papagáj;;;;;;;;;;;
4216;PSITTACIFORMES;Psittacidae;Pyrrhura hoffmanni;Sulphur-winged Parakeet;cotorra alagroga;黄翅鹦哥;硫磺翅鸚哥;žutokrila papiga;pyrura žlutokřídlý;Gulvinget Conure;Hoffmanns Parkiet;sulfurflugila papago;keltasiipiaratti;Conure de Hoffmann;Hoffmannsittich;Parrocchetto alizolfo;ホオベニインコ;geltonsparnė raudonuodegė papūga;svovelvingeparakitt;rudosterka żółtoskrzydła;tiriba-de-asa-amarelada;periquitão-d'asa-amarela;Желтокрылая которра;Žutokrili pirura papagaj;klinochvost žltokrídly;Cotorra catana;svavelvingad parakit;Hoffmann Papağanı;котора коста-риканський;;;;;kostariika võrkpapagoi;Conure de Hoffmann;;;Hoffmann papagája;;;;;;;;;;;
4217;PSITTACIFORMES;Psittacidae;Enicognathus ferrugineus;Austral Parakeet;cotorra de Magallanes;南鹦哥;偏南鸚哥;smaragdna papiga;kogna smaragdový;Smaragdparakit;Magelhaenparkiet;aŭstrala papago;etelänaratti;Conure magellanique;Smaragdsittich;Parrocchetto australe;コイミドリインコ;trumpasnapė australinė papūga;sørparakitt;krasnogonka krótkodzioba;periquito-austral;periquito-austral;Магелланова которра;Smaragdni enikognatus papagaj;červenochvost tyrkysový;Cotorra cachaña;magellanparakit;Macellan Papağanı;папуга-червонохвіст короткодзьобий;;;;;väike-pöögipapagoi;Conure magellanique;;;smaragdzöld papagáj;;;;;;;;;;;
4218;PSITTACIFORMES;Psittacidae;Enicognathus leptorhynchus;Slender-billed Parakeet;cotorra de Xile;细嘴鹦哥;細嘴鸚哥;oštrokljuna papiga;kogna dlouhozobý;Langnæbsparakit;Langsnavelparkiet;stretbeka papago;chilenaratti;Conure à long bec;Langschnabelsittich;Parrocchetto beccosottile;ハシナガインコ;liaunasnapė australinė papūga;langnebbparakitt;krasnogonka długodzioba;periquito-de-bico-fino;periquito-de-bico-fino;Длинноклювая которра;Dugokljuni enikognatus papagaj;červenochvost dlhozobý;Cotorra choroy;chileparakit;Uzun Gagalı Papağan;папуга-червонохвіст довгодзьобий;;;;;tšiili pöögipapagoi;Conure à long bec;;;hosszúcsőrű papagáj;;;;;;;;;;;
4219;PSITTACIFORMES;Psittacidae;Cyanoliseus patagonus;Burrowing Parrot;cotorra de la Patagònia;穴鹦哥;掘穴鸚哥;patagonska papiga;arara patagonský;Patagonsk Parakit;Holenparkiet;patagonia papago;patagonianaratti;Conure de Patagonie;Felsensittich;Parrocchetto delle tane;イワインコ;urvinė papūga;graveparakitt;patagonka;periquito-das-barreiras;periquito-das-barreiras;Скальный попугай;Papagaj patagonac;dlhochvost patagónsky;Loro barranquero;patagonienparakit;Patagonya Papağanı;папуга патагонський;;;;Патагонска конура;kaldapapagoi;Conure de Patagonie;;;üregi papagáj;;;;;;;;;;;
4220;PSITTACIFORMES;Psittacidae;Anodorhynchus hyacinthinus;Hyacinth Macaw;guacamai jacint;紫蓝金刚鹦鹉;紫藍麥鷍;hijacintna ara;ara hyacintový;Hyacintara;Hyacintara;hiacinta arao;hyasinttiara;Ara hyacinthe;Hyazinthara;Ara giacinto;スミレコンゴウインコ;hiacintinė mėlynoji ara;hyasintara;modroara hiacyntowa;arara-azul-grande;arara-azul;Гиацинтовый ара;Velika plava ara;ara hyacintová;Guacamayo jacinto;hyacintara;Çivit Mavisi Ara;ара гіацинтовий;;;;Хиацинтов ара;hüatsint-siniaara;Guhaa hyacinthe;;;jácintkék ara;;;;;;;;;;;
4221;PSITTACIFORMES;Psittacidae;Anodorhynchus leari;Lear's Macaw;guacamai de Lear;青蓝金刚鹦鹉;靛藍麥鷍;kobaltasta ara;ara kobaltový;Indigoara;Lears Ara;indiga arao;indigoara;Ara de Lear;Learara;Ara indaco;コスミレコンゴウインコ;mažoji mėlynoji ara;indigoara;modroara błękitna;arara-azul-pequena;arara-índigo;Индиговый ара;Mala plava ara;ara kobaltová;Guacamayo de Lear;indigoara;Lear Arası;ара синій;;;;Индигов ара;indigo-siniaara;Guhaa de Lear;;;kobaltkék ara;;;;;;;;;;;
4222;PSITTACIFORMES;Psittacidae;Anodorhynchus glaucus;Glaucous Macaw;guacamai glauc;蓝绿金刚鹦鹉;灰綠麥鷍;tirkizna ara;ara tyrkysový;Havblå Ara;Blauwgrijze Ara;glaŭka arao;paranánara;Ara glauque;Türkisara;Ara glauca;ウミアオコンゴウインコ;blausioji mėlynoji ara;asurara;modroara turkusowa;arara-celeste;arara-glauca;Серо-голубой ара;Morskoplava ara;ara sivá;Guacamayo glauco;blågrön ara;Türkuaz Ara;ара лазуровий;;;;Сив ара;türkiis-siniaara;Guhaa glauque;;;tengerkék arara;;;;;;;;;;;
4223;PSITTACIFORMES;Psittacidae;Rhynchopsitta pachyrhyncha;Thick-billed Parrot;cotorra de Sierra Madre Occidental;厚嘴鹦哥;厚嘴鸚哥;krupnokljuna jandaja;arara zelený;Araparakit;Araparkiet;dikbeka papago;mäntyaratti;Conure à gros bec;Kiefernsittich;Pappagallo beccospesso;ハシブトインコ;raudonkaktė storasnapė ara;tykknebbparakitt;meksykana czerwonoczelna;papagaio-de-testa-vermelha;papagaio-de-bico-grosso;Толстоклювый арара;Debelokljuni papagaj;arara červenočelá;Cotorra serrana occidental;tjocknäbbad parakit;Çam Papağanı;ара товстодзьобий;;;;;männipapagoi e. lääne-männipapagoi;Conure à gros bec;;;vastagcsőrű papagáj;;;;;;;;;;;
4224;PSITTACIFORMES;Psittacidae;Rhynchopsitta terrisi;Maroon-fronted Parrot;cotorra de Sierra Madre Oriental;暗红额鹦哥;栗額鸚哥;tamnočela jandaja;arara hnědočelý;Brunpandet Araparakit;Grote Araparkiet;brunfrunta papago;isomäntyaratti;Conure à front brun;Maronenstirnsittich;Pappagallo frontemarrone;クリムネインコ;juodakaktė storasnapė ara;furuparakitt;meksykana kasztanowoczelna;papagaio-de-fronte-castanha;papagaio-de-testa-castanha;Каштановолобый арара;Debelokljuni papagaj sa bordo čelom;arara hnedočelá;Cotorra serrana oriental;tallparakit;Kahverengi Alınlı Papağan;ара мексиканський;;;;;ida-männipapagoi;Conure à front brun;;;barnafejű ararapapagáj;;;;;;;;;;;
4225;PSITTACIFORMES;Psittacidae;Eupsittula nana;Olive-throated Parakeet;aratinga de pit brut;绿喉鹦哥;橄綠喉鸚哥;mala jandaja;aratinga jamajský;Jamaica Aratinga;Olijfkeelaratinga;olivbrusta papago;asteekkiaratti;Conure naine;Jamaikasittich;Parrocchetto golaoliva;ジャマイカインコ;jamaikinė aratinga;mayaparakitt;konura oliwkowa;periquito-de-garganta-oliva;periquito-jamaicano;Ямайская аратинга;Jamajkanska aratinga;klinochvost hnedohrdlý;Aratinga jamaicana;olivbröstad parakit;Bronz Göğüslü Papağan;аратинга ямайський;;;;;väikearatinga;Conure naine;;;jamaicai aratinga;;;;;;;;;;;
4226;PSITTACIFORMES;Psittacidae;Eupsittula canicularis;Orange-fronted Parakeet;aratinga de front carbassa;橙额鹦哥;橙額鸚哥;narančastočela jandaja;aratinga oranžovočelý;Elfenbensparakit;Ivooraratinga;oranĝfrunta papago;termiittiaratti;Conure à front rouge;Elfenbeinsittich;Parrocchetto frontearancio;メキシコインコ;rudakaklė aratinga;oransjepanneparakitt;konura pomarańczowoczelna;periquito-de-testa-laranja;periquito-de-testa-laranja;Оранжеволобая аратинга;Narandžastočela aratinga;klinochvost malý;Aratinga frentinaranja;elfenbensparakit;Turuncu Alınlı Papağan;аратинга мексиканський;;;;;ranniku-aratinga;Conure à front rouge;;;narancshomlokú ékfarkúpapagáj;;;;;;;;;;;
4227;PSITTACIFORMES;Psittacidae;Eupsittula aurea;Peach-fronted Parakeet;aratinga coronada;粉额鹦哥;桃額鸚哥;vatročela jandaja;aratinga zlatočelý;Halvmåneparakit;Goudvoorhoofdparkiet;persikfrunta papago;persikka-aratti;Conure couronnée;Goldstirnsittich;Parrocchetto frontepesca;テツバシメキシコインコ;rausvakaktė aratinga;gullpanneparakitt;konura brazylijska;periquito-rei;periquito-de-testa-dourada;Златолобая аратинга;Zlatočela aratinga;klinochvost zlatočelý;Aratinga frentidorada;guldpannad parakit;Altın Alınlı Papağan;аратинга бразильський;;;;;kampo-aratinga;Conure couronnée;;;aranyhomlokú aratinga;;;;;;;;;;;
4228;PSITTACIFORMES;Psittacidae;Eupsittula pertinax;Brown-throated Parakeet;aratinga de coroneta blava;褐喉鹦哥;褐喉鸚哥;smeđogrla jandaja;aratinga hnědohrdlý;Brunstrubet Aratinga;Maïsparkiet;brungorĝa papago;savanniaratti;Conure cuivrée;Braunwangensittich;Parrocchetto golabruna;チャノドインコ;rudagurklė aratinga;brunstrupeparakitt;konura brązowogardła;periquito-de-bochecha-parda;periquito-de-garganta-castanha;Бурощёкая аратинга;Pertinaks aratinga;klinochvost plavolíci;Aratinga pertinaz;brunstrupig parakit;Kahverengi Gerdanlı Papağan;аратинга рудоволий;;;;;ljaano-aratinga;Conure cuivrée;;;barnaarcú aratinga;;;;;;;;;;;
4229;PSITTACIFORMES;Psittacidae;Eupsittula cactorum;Caatinga Parakeet;aratinga dels cactus;仙人掌鹦哥;仙人掌鸚哥;smeđoprsa jandaja;aratinga kaktusový;Kaktusaratinga;Cactusparkiet;kakta papago;kaktusaratti;Conure des cactus;Kaktussittich;Parrocchetto della caatinga;サボテンインコ;kaktusinė aratinga;kaktusparakitt;konura kaktusowa;periquito-da-caatinga;periquito-dos-cactos;Кактусовая аратинга;Kaktusova aratinga;klinochvost kaktusový;Aratinga de los cactos;kaktusparakit;Kaktüs Papağanı;аратинга кактусовий;;;;;kaktuse-aratinga;Conure des cactus;;;kaktuszaratinga;;;;;;;;;;;
4230;PSITTACIFORMES;Psittacidae;Conuropsis carolinensis;Carolina Parakeet;aratinga de la Carolina;卡罗莱纳鹦哥;卡羅萊納鸚鵡;karolinska papiga;papoušek karolínský;Carolina Parakit;Carolinaparkiet;karolina papago;carolinanaratti;Conure de Caroline;Carolinasittich;Parrocchetto della Carolina;カロライナインコ;Karolinos papūga;karolinaparakitt;papuga karolińska;periquito-da-carolina;periquito-carolino;Каролинский попугай;Karolinski papagaj;klinochvost žltohlavý;Cotorra de Carolina;karolinaparakit;Karolina Papağanı;папуга каролінський;;;;;lammipapagoi;Conure de Caroline;;;karolinai papagáj;;;;Karolīnas papagailis;;;;;;;
4231;PSITTACIFORMES;Psittacidae;Aratinga weddellii;Dusky-headed Parakeet;aratinga de cap turquesa;暗头鹦哥;暗頭鸚哥;sivoglava jandaja;aratinga tmavohlavý;Gråhovedet Aratinga;Weddells Aratinga;malhelkapa papago;harmaapääaratti;Conure de Weddell;Weddellsittich;Parrocchetto testascura;シモフリインコ;melsvagalvė aratinga;hvitøreparakitt;konura łuskogłowa;periquito-de-cabeça-suja;periquitão-de-cabeça-fusca;Буроголовая аратинга;Vedelova aratinga;klinochvost tmavohlavý;Aratinga cabecifusca;skifferhuvad parakit;Gri Başlı Papağan;аратинга сіроголовий;;;;;lodu-aratinga;Conure de Weddell;;;barnafejű aratinga;;;;;;;;;;;
4232;PSITTACIFORMES;Psittacidae;Aratinga nenday;Nanday Parakeet;aratinga nandai;黑头鹦哥;黑頭巾鸚哥;crnoglava jandaja;aratinga černohlavý;Nandayparakit;Nandayparkiet;nandaja papago;huppuaratti;Conure nanday;Nandaysittich;Aratinga nanday;クロガミインコ;juodagalvė papūga;nendayparakitt;konura czarnogłowa;periquito-de-cabeça-preta;periquitão-de-cabeça-preta;Черноголовая нандая;Nandaja aratinga;klinochvost čiernohlavý;Aratinga ñanday;nandayparakit;Nanday Papağanı;нандая;;درة راساء;;Черноглава аратинга;mustpea-aratinga;Conure nanday;;קוניור שחור-ראש;nandajpapagáj;;;;;;;;;;;
4233;PSITTACIFORMES;Psittacidae;Aratinga solstitialis;Sun Parakeet;aratinga sol;金黄鹦哥;太陽鸚哥;sunčana jandaja;aratinga zlatý;Solparakit;Zonparkiet;suna papago;aurinkoaratti;Conure soleil;Sonnensittich;Parrocchetto del sole;コガネメキシコインコ;geltonoji aratinga;solparakitt;konura słoneczna;jandaia-amarela;periquitão-sol;Солнечная аратинга;Sunčana aratinga;klinochvost zlatohlavý;Aratinga sol;solparakit;Güneş Rengi Papağan;аратинга золотистоперий;;;;;päikese-aratinga;Conure soleil;;;nappapagáj;;;;;;;;;;;
4234;PSITTACIFORMES;Psittacidae;Aratinga maculata;Sulphur-breasted Parakeet;aratinga sulfurosa;橙胸鹦哥;硫黃胸鸚哥;limunasta jandaja;aratinga sírožlutý;Svovlbrystet Parakit;Zwavelborstparkiet;sulfurbrusta papago;amazonianaurinkoaratti;Conure de Pinto;Schwefelbrustsittich;Parrocchetto pettozolfo;キバラメキシコインコ;geltonkrūtė aratinga;svovelparakitt;konura żółta;cacaué;periquitão-de-peito-amarelo;Желтоспинная аратинга;Aratinga sa sumporastim grudima;klinochvost žltoprsý;Aratinga pechisulfúrea;svavelparakit;Sarı Gerdanlı Papağan;аратинга паранський;;;;;;Conure de Pinto;;;;;;;;;;;;;;
4235;PSITTACIFORMES;Psittacidae;Aratinga jandaya;Jandaya Parakeet;aratinga jandaya;绿翅金鹦哥;詹代亞鸚哥;zlatnoglava jandaja;aratinga jendaj;Jandayaparakit;Jendayaparkiet;jandaja papago;palmuaratti;Conure jandaya;Jandayasittich;Parrocchetto jandaya;ナナイロメキシコインコ;brazilinė aratinga;jandayaparakitt;konura ognistobrzucha;jandaia-verdadeira;periquitão-nordestino;Яндая;Jandaja aratinga;klinochvost zlatožltý;Aratinga jandaya;jandayaparakit;Jandaya Papağanı;аратинга вогнистогрудий;;;;;leek-aratinga;Conure jandaya;;;jandaya aratinga;;;;;;;;;;;
4236;PSITTACIFORMES;Psittacidae;Aratinga auricapillus;Golden-capped Parakeet;aratinga de front daurat;金帽鹦哥;金帽鸚哥;zlatnokapa jandaja;aratinga zlatohlavý;Gulisset Aratinga;Goudkaparatinga;orĉapa papago;kruunuaratti;Conure à tête d’or;Goldscheitelsittich;Parrocchetto capodorato;ゴシキメキシコインコ;auksakepurė aratinga;ildkroneparakitt;konura złotoczelna;jandaia-de-testa-vermelha;periquitão-de-testa-vermelha;Златошапочная аратинга;Zlatnotemena aratinga;klinochvost svietivý;Aratinga testadorada;guldkronad parakit;Altın Başlıklı Papağan;аратинга золотолобий;;;;;tulipea-aratinga;Conure à tête d'or;;;aranyosfejű aratinga;;;;;;;;;;;
4237;PSITTACIFORMES;Psittacidae;Cyanopsitta spixii;Spix's Macaw;guacamai de Spix;小蓝金刚鹦鹉;小藍麥鷍;modra ara;ara škraboškový;Spix´ Ara;Spix' Ara;blua arao;siniara;Ara de Spix;Spixara;Ara di Spix;アオコンゴウインコ;Spikso papūga;brilleara;ara modra;ararinha-azul;arara-de-spix;Синий ара;Spiksova plava ara;ara sivomodrá;Guacamayo de Spix;azurara;Spiks Arası;ара світлоголовий;;;;Спиксов ара;safiiraara;Ara de Spix;;;Spix-ara;;;;;;;;;;;
4238;PSITTACIFORMES;Psittacidae;Orthopsittaca manilatus;Red-bellied Macaw;guacamai caragroc;红腹金刚鹦鹉;紅腹麥鷍;žutolica ara;ara rudobřichý;Rødbuget Dværgara;Roodbuikara;ruĝventra arao;savanniara;Ara macavouanne;Rotbauchara;Ara panciarossa;ズグロヒメコンゴウインコ;rausvapilvė ara;rustbukara;ara żółtolica;maracanã-do-buriti;arara-de-barriga-ruiva;Краснобрюхий ара;Crvenotrba ara;ara červenobruchá;Guacamayo ventrirrojo;rödbukig ara;Kırmızı Karınlı Ara;ара жовтощокий;;;;Тъмнозелен ара;palmi-aara;Ara macavouanne;;;vöröshasú ara;;;;;;;;;;;
4239;PSITTACIFORMES;Psittacidae;Primolius couloni;Blue-headed Macaw;guacamai capblau;蓝头金刚鹦鹉;藍頭麥鷍;plavoglava ara;ara šedolící;Blåhovedet Dværgara;Blauwkopara;blukapa arao;sinipääara;Ara de Coulon;Blaukopfara;Ara testablu;ヤマヒメコンゴウインコ;mėlyngalvė arara;blåhodeara;ara niebieskogłowa;maracanã-de-cabeça-azul;arara-de-cabeça-azul;Горный ара;Plavoglava ara;ara modrohlavá;Guacamayo cabeciazul;blåhuvad ara;Mavi Başlı Ara;маракана гірський;;;;Синьоглав ара;smaragd-aara;Ara de Coulon;;;hegyi ara;;;;;;;;;;;
4240;PSITTACIFORMES;Psittacidae;Primolius auricollis;Golden-collared Macaw;guacamai colldaurat;金领金刚鹦鹉;金領麥鷍;zlatnovrata ara;ara žlutokrký;Gulnakket Dværgara;Geelnekara;flavkoluma arao;sepelara;Ara à collier jaune;Halsbandara;Ara dal collare;キエリヒメコンゴウインコ;geltonkaklė arara;gulnakkeara;ara żółtoszyja;maracanã-de-colar;arara-de-colar-dourado;Желтошейный ара;Zlatnovrata ara;ara goliernatá;Guacamayo acollarado;gulnackad ara;Sarı Boyunlu Ara;маракана жовтошиїй;;;;Златен ара;kaelus-aara;Ara à collier jaune;;;aranynyakú ara;;;;;;;;;;;
4241;PSITTACIFORMES;Psittacidae;Primolius maracana;Blue-winged Macaw;guacamai alablau;蓝翅金刚鹦鹉;藍翅麥鷍;modrokrila ara;ara marakana;Rødrygget Dværgara;Illigers Ara;bluflugila arao;brasilianara;Ara d’Illiger;Rotrückenara;Ara aliblu;アカビタイヒメコンゴウインコ;mėlynsparnė arara;rødbukara;(ara) marakana;maracanã-verdadeira;arara-d'asa-azul;Синекрылый ара;Plavokrila ara;ara marakana;Guacamayo maracaná;blåvingad ara;Mavi Kanatlı Ara;маракана червоночеревий;;;;Син ара;roheaara;Ara d'Illiger;;;marakánaara;;;;;;;;;;;
4242;PSITTACIFORMES;Psittacidae;Ara ararauna;Blue-and-yellow Macaw;guacamai blau;蓝黄金刚鹦鹉;藍黃麥鷍;modro-žuta ara;ara ararauna;Blågul Ara;Blauw-gele Ara;bluflava arao;sinikelta-ara;Ara bleu;Gelbbrustara;Ara gialloblu;ルリコンゴウインコ;geltonkrūtė ara;blågulara;(ara) ararauna;arara-canindé;arara-azul-e-amarela;Сине-жёлтый ара;Žuto-plava ara (ararauna);ara modro-žltá;Guacamayo azuliamarillo;blågul ara;Mavi-Sarı Ara;араурана;;;;Синьо-жълт ара;ararauna (lasuuraara);Ara bleu;;;sárga-kék ara;;;;;;;;;;;
4243;PSITTACIFORMES;Psittacidae;Ara glaucogularis;Blue-throated Macaw;guacamai golablau;蓝喉金刚鹦鹉;藍喉麥鷎;plavogrla ara;ara modrohrdlý;Blåstrubet Ara;Blauwkeelara;blugorĝa arao;sinikurkkuara;Ara canindé;Blaukehlara;Ara golablu;アオキコンゴウインコ;mėlyngurklė ara;blåstrupeara;ara szafirowa;arara-de-garganta-azul;arara-de-garganta-azul;Синегорлый ара;Plavogrla ara;ara modrokrká;Guacamayo barbiazul;blåstrupig ara;Mavi Gerdanlı Ara;ара синьогорлий;;;;Синьочел ара;boliivia ararauna (boliivia lasuuraara);Ara canindé;;;kéktorkú ara;;;;;;;;;;;
4244;PSITTACIFORMES;Psittacidae;Ara severus;Chestnut-fronted Macaw;guacamai verd petit;栗额金刚鹦鹉;偉格勒氏麥鷎;tamnočela ara;ara malý;Dværgara;Dwergara;brunfrunta arao;valkonaama-ara;Ara vert;Rotbugara;Ara frontecastana;ヒメコンゴウインコ;rudakaktė ara;brunpanneara;ara kasztanowoczelna;maracanã-guaçu;arara-de-testa-castanha;Каштановолобый ара;Ara severa;ara tmavočelá;Guacamayo severo;dvärgara;Küçük Ara;ара синьокрилий;;;;Гвиански ара;jõgiaara;Ara vert;;;vörösszárnyélű ara;;;;;;;;;;;
4245;PSITTACIFORMES;Psittacidae;Ara rubrogenys;Red-fronted Macaw;guacamai de front vermell;红额金刚鹦鹉;紅額麥鷍;crvenočela ara;ara červenouchý;Rødøret Ara;Roodwangara;ruĝfrunta arao;bolivianara;Ara de Lafresnaye;Rotohrara;Ara fronterossa;アカミミコンゴウインコ;raudonkaktė ara;rødøreara;ara różowooka;arara-de-testa-vermelha;arara-de-testa-vermelha;Красноухий ара;Crvenočela ara;ara červenosluchá;Guacamayo de Cochabamba;rödpannad ara;Kızıl Alınlı Ara;ара червонолобий;;;;Червеночел ара;mägiaara;Ara de Lafresnaye;;;vörösfülű ara;;;;;;;;;;;
4246;PSITTACIFORMES;Psittacidae;Ara tricolor;Cuban Macaw;guacamai de Cuba;古巴红鹦鹉;古巴麥鷎;kubanska ara;ara kubánský;Cuba Ara;Cubaanse Ara;kuba arao;kuubanara;Ara tricolore;Dreifarbenara;Ara di Hispaniola;ミイロコンゴウインコ;trispalvė ara;kubaara;ara trójbarwna;arara-cubana;arara-cubana;Трёхцветный ара;Kubanska ara;ara trojfarebná;Guacamayo cubano;kubaara;Küba Arası;ара триколірний;;;;Кубински ара;kolmvärv-aara;Ara tricolore;;;kubai ara;;;;;;;;;;;
4247;PSITTACIFORMES;Psittacidae;Ara militaris;Military Macaw;guacamai militar;军绿金刚鹦鹉;軍隊麥鷍;vojnička ara;ara vojenský;Soldaterara;Soldatenara;militista arao;smaragdiara;Ara militaire;Soldatenara;Ara militare;ミドリコンゴウインコ;žalioji ara;soldatara;ara zielona;arara-militar;arara-militar;Солдатский ара;Mala vojnička ara;ara zelená;Guacamayo militar;mindre soldatara;Asker Ara;ара зелений;;;;Зелен ара;soldat-aara;Ara militaire;;;kis katonaara;;;;;;;;;;;
4248;PSITTACIFORMES;Psittacidae;Ara ambiguus;Great Green Macaw;guacamai verd gros;大绿金刚鹦鹉;大綠麥鷍;zelena ara;ara zelený;Stor Soldaterara;Buffons Ara;verda arao;panamanara;Ara de Buffon;Bechsteinara;Ara verde;ヒワコンゴウインコ;ekvadorinė ara;gladiatorara;ara oliwkowa;arara-verde-grande;arara-verde;Зелёный ара;Velika zelena ara;ara olivová;Guacamayo ambiguo;större soldatara;Büyük Yeşil Ara;ара нікарагуанський;;;;Голям зелен ара;suur-soldataara;Ara de Buffon;;;nagy katonaara;;;;;;;;;;;
4249;PSITTACIFORMES;Psittacidae;Ara macao;Scarlet Macaw;guacamai roig d'ales grogues;绯红金刚鹦鹉;緋紅麥鷍;crveno-modra ara;ara arakanga;Lyserød Ara;Geelvleugelara;skarlata arao;puna-ara;Ara rouge;Scharlachara;Ara scarlatta;コンゴウインコ;raudonoji ara;rødara;ara żółtoskrzydła;araracanga;arara-escarlate;Красный ара;Crveno-plava ara (arakanga, makao);ara arakanga;Guacamayo macao;röd ara;Karmen Rengi Ara;араканга;;;;Червен ара;puna-aara (makao);Ara rouge;;;sárgaszárnyú ara;;;;;;;;;;;
